date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/06/24,"Tuesday, June 24, 2025",St John the Baptist,,,,"Psalm 50,149; Malachi 3:1-6; Luke 3:1-17","Psalm 80,82; Malachi 4; Matthew 11:2-19"
2025/06/25,"Wednesday, June 25, 2025",Week of 12th Sunday in Ordinary Time,,,,Psalm 34; Job 15; Romans 8:1–11,Psalm 119:33-56; Joshua 22:9–end; Luke 12:22–31
2025/06/26,"Thursday, June 26, 2025",Week of 12th Sunday in Ordinary Time,,,,Psalm 37; Job 16:1–17:2; Romans 8:12–17,Psalm 40; Joshua 23; Luke 12:32–40
2025/06/27,"Friday, June 27, 2025",Week of 12th Sunday in Ordinary Time,,,,Psalm 31; Job 17:3–end; Romans 8:18–30,Psalm 35; Joshua 24:1–28; Luke 12:41–48
2025/06/28,"Saturday, June 28, 2025",Week of 12th Sunday in Ordinary Time,Eve of St Peter and St Paul,,,Psalm 42; Job 18; Romans 8:31–end,"Psalm 66,67; Ezekiel 3:4-11; Galatians 1:13-end,2:1-8"
2025/06/29,"Sunday, June 29, 2025","St Peter and St Paul, Apostles, Martyrs",,"Psalm 16; 1 Kings 19:15-16,19-21; Galatians 5:1,13-25; Luke 9:51-62","Psalm 77:1-2,11-20*; 2 Kings 2:1-2,6-14; Galatians 5:1,13-25; Luke 9:51-62","Psalm 71,113; Isaiah 49:1-6; Acts 11:1-18","Psalm 124,138; Ezekiel 34:11-16; John 21:15-22"
2025/06/30,"Monday, June 30, 2025",Week of 13th Sunday in Ordinary Time,,,,Psalm 44; Job 19; Romans 9:1–18,Psalm 47; Judges 2; Luke 13:1–9
2025/07/01,"Tuesday, July 1, 2025",Week of 13th Sunday in Ordinary Time,,,,Psalm 48; Job 21; Romans 9:19–end,Psalm 50; Judges 4:1–23; Luke 13:10–21
2025/07/02,"Wednesday, July 2, 2025",Week of 13th Sunday in Ordinary Time,Eve of the Annunciation,,,Psalm 119:57-80; Job 22; Romans 10:1–10,"Psalm 27; Isaiah 35; Hebrews 10:35-end,11:1"
2025/07/03,"Thursday, July 3, 2025",Thomas the Apostle,,,,"Psalm 92,146; 2 Samuel 15:17-21; John 11:1-16",Psalm 139; Job 42:1-6; 1 Peter 1:3-12
2025/07/04,"Friday, July 4, 2025",Week of 13th Sunday in Ordinary Time,,,,Psalm 51; Job 24; Romans 11:1–12,Psalm 38; Judges 6:25–end; Luke 14:12–24
2025/07/05,"Saturday, July 5, 2025",Week of 13th Sunday in Ordinary Time,,,,Psalm 68; Job 25–26; Romans 11:13–24,Psalm 66; Judges 7; Luke 14:25–end
2025/07/06,"Sunday, July 6, 2025",14th Sunday in Ordinary Time,,"Psalm 66:1-8; Isaiah 66:10-14; Galatians 6:(1-6),7-16; Luke 10:1-11,16-20","Psalm 30; 2 Kings 5:1-14; Galatians 6:(1-6),7-16; Luke 10:1-11,16-20",Psalm 74; Deuteronomy 24:10-22; Acts 28:1-16,Psalm 65; Genesis 29:1-20; Mark 6:7-29
2025/07/07,"Monday, July 7, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 71; Job 27; Romans 11:25–end,Psalm 72; Judges 8:22–end; Luke 15:1–10
2025/07/08,"Tuesday, July 8, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 73; Job 28; Romans 12:1–8,Psalm 74; Judges 9:1–21; Luke 15:11–end
2025/07/09,"Wednesday, July 9, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 77; Job 29; Romans 12:9–end,Psalm 119:81-104; Judges 9:22–end; Luke 16:1–18
2025/07/10,"Thursday, July 10, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 78:1-39*; Job 30; Romans 13:1–7,Psalm 78:40-end; Judges 11:1–11; Luke 16:19–end
2025/07/11,"Friday, July 11, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 55; Job 31; Romans 13:8–end,Psalm 69; Judges 11:29–end; Luke 17:1–10
2025/07/12,"Saturday, July 12, 2025",Week of 14th Sunday in Ordinary Time,,,,Psalm 76; Job 32; Romans 14:1–12,Psalm 84; Judges 12:1–7; Luke 17:11–19
2025/07/13,"Sunday, July 13, 2025",15th Sunday in Ordinary Time,,Psalm 25:1-10; Deuteronomy 30:9-14; Colossians 1:1-14; Luke 10:25-37,Psalm 82; Amos 7:7-17; Colossians 1:1-14; Luke 10:25-37,Psalm 76; Deuteronomy 28:1-14; Acts 28:17-31,Psalm 77*; Genesis 32:9-30; Mark 7:1-23
2025/07/14,"Monday, July 14, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 80; Job 33; Romans 14:13–end,Psalm 85; Judges 13:1–24; Luke 17:20–end
2025/07/15,"Tuesday, July 15, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 89:1-18; Job 38; Romans 15:1–13,Psalm 89:19-end; Judges 14; Luke 18:1–14
2025/07/16,"Wednesday, July 16, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 119:105-128; Job 39; Romans 15:14–21,Psalm 91; Judges 15:1–16:3; Luke 18:15–30
2025/07/17,"Thursday, July 17, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 92; Job 40; Romans 15:22–end,Psalm 94; Judges 16:4–end; Luke 18:31–end
2025/07/18,"Friday, July 18, 2025",Week of 15th Sunday in Ordinary Time,,,,Psalm 88; Job 41; Romans 16:1–16,Psalm 102; Judges 17; Luke 19:1–10
