date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/09/21,"Sunday, September 21, 2025","St Matthew, Apostle and Evangelist",,Psalm 113; Amos 8:4-7; 1 Timothy 2:1-7; Luke 16:1-13,Psalm 79:1-9; Jeremiah 8:18-9:1; 1 Timothy 2:1-7; Luke 16:1-13,"Psalm 49,117; 1 Kings 19:15-21; 2 Timothy 3:14-17","Psalm 119:33-40,119:89-96; Ecclesiastes 5:4-12; Matthew 19:16-30"
2025/09/22,"Monday, September 22, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 1; 1 Chronicles 10:1–11:9; Mark 9:38–end,Psalm 4; 1 Kings 1:5–31; Acts 13:13–43
2025/09/23,"Tuesday, September 23, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 5; 1 Chronicles 13; Mark 10:1–16,"Psalm 9; 1 Kings 1:32–2:4,2:10–12; Acts 13:44–14:7"
2025/09/24,"Wednesday, September 24, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 119:1-32; 1 Chronicles 15:1–16:3; Mark 10:17–31,Psalm 11; 1 Kings 3; Acts 14:8–end
2025/09/25,"Thursday, September 25, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 15; 1 Chronicles 17; Mark 10:32–34,Psalm 18*; 1 Kings 4:29–5:12; Acts 15:1–21
2025/09/26,"Friday, September 26, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 19; 1 Chronicles 21:1–22:1; Mark 10:35–45,"Psalm 22; 1 Kings 6:1,6:11–28; Acts 15:22–35"
2025/09/27,"Saturday, September 27, 2025",Week of 25th Sunday in Ordinary Time,,,,Psalm 23; 1 Chronicles 22:2–end; Mark 10:46–end,Psalm 24; 1 Kings 8:1–30; Acts 15:36–16:5
2025/09/28,"Sunday, September 28, 2025",26th Sunday in Ordinary Time,Eve of Michaelmas,"Psalm 146; Amos 6:1a,4-7; 1 Timothy 6:6-19; Luke 16:19-31","Psalm 91:1-6,14-16*; Jeremiah 32:1-3a,6-15; 1 Timothy 6:6-19; Luke 16:19-31",Psalm 132; Isaiah 48:12-22; Luke 11:37-54,"Psalm 91; 2 Kings 6:8-17; Matthew 18:1-6,10"
2025/09/29,"Monday, September 29, 2025",St Michael and All Angels / Michaelmas,,,,"Psalm 34,150; Daniel 12:1-4; Acts 12:1-11","Psalm 138,148; Daniel 10:4-21; Revelations 5"
2025/09/30,"Tuesday, September 30, 2025",Week of 26th Sunday in Ordinary Time,,,,Psalm 36; 1 Chronicles 28:11–end; Mark 11:12–26,Psalm 33; 1 Kings 8:63–9:9; Acts 16:25–end
2025/10/01,"Wednesday, October 1, 2025",Week of 26th Sunday in Ordinary Time,,,,Psalm 34; 1 Chronicles 29:1–9; Mark 11:27–end,Psalm 119:33-56; 1 Kings 10:1–25; Acts 17:1–15
2025/10/02,"Thursday, October 2, 2025",Week of 26th Sunday in Ordinary Time,,,,Psalm 37; 1 Chronicles 29:10–20; Mark 12:1–12,Psalm 40; 1 Kings 11:1–13; Acts 17:16–end
2025/10/03,"Friday, October 3, 2025",Week of 26th Sunday in Ordinary Time,,,,Psalm 31; 1 Chronicles 29:21–end; Mark 12:13–17,Psalm 35; 1 Kings 11:26–end; Acts 18:1–21
2025/10/04,"Saturday, October 4, 2025",Week of 26th Sunday in Ordinary Time,,,,Psalm 42; 2 Chronicles 1:1–13; Mark 12:18–27,Psalm 46; 1 Kings 12:1–24; Acts 18:22–19:7
2025/10/05,"Sunday, October 5, 2025",27th Sunday in Ordinary Time,,"Psalm 37:1-9; Habakkuk 1:1-4,2:1-4; 2 Timothy 1:1-14; Luke 17:5-10",Psalm 137*; Lamentations 1:1-6; 2 Timothy 1:1-14; Luke 17:5-10,Psalm 141; Isaiah 49:13-23; Luke 12:1-12,Psalm 142; Nehemiah 5:1-13; John 9
2025/10/06,"Monday, October 6, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 44; 2 Chronicles 2:1–16; Mark 12:28–34,Psalm 47; 1 Kings 12:25–13:10; Acts 19:8–20
2025/10/07,"Tuesday, October 7, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 48; 2 Chronicles 3; Mark 12:35–end,Psalm 50; 1 Kings 13:11–end; Acts 19:21–end
2025/10/08,"Wednesday, October 8, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 119:57-80; 2 Chronicles 5; Mark 13:1–13,Psalm 59; 1 Kings 17; Acts 20:1–16
2025/10/09,"Thursday, October 9, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 57; 2 Chronicles 6:1–21; Mark 13:14–23,Psalm 62; 1 Kings 18:1–20; Acts 20:17–end
2025/10/10,"Friday, October 10, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 51; 2 Chronicles 6:22–end; Mark 13:24–31,Psalm 38; 1 Kings 18:21–end; Acts 21:1–16
2025/10/11,"Saturday, October 11, 2025",Week of 27th Sunday in Ordinary Time,,,,Psalm 68; 2 Chronicles 7; Mark 13:32–end,Psalm 66; 1 Kings 19; Acts 21:17–36
2025/10/12,"Sunday, October 12, 2025",28th Sunday in Ordinary Time,,"Psalm 111; 2 Kings 5:1-3,7-15c; 2 Timothy 2:8-15; Luke 17:11-19","Psalm 66:1-11; Jeremiah 29:1,4-7; 2 Timothy 2:8-15; Luke 17:11-19",Psalm 143; Isaiah 50:4-10; Luke 13:22-30,Psalm 144; Nehemiah 6:1-16; John 15:12-27
2025/10/13,"Monday, October 13, 2025",Week of 28th Sunday in Ordinary Time,,,,Psalm 71; 2 Chronicles 9:1–12; Mark 14:1–11,Psalm 72; 1 Kings 21; Acts 21:37–22:21
2025/10/14,"Tuesday, October 14, 2025",Week of 28th Sunday in Ordinary Time,,,,Psalm 73; 2 Chronicles 10:1–11:4; Mark 14:12–25,Psalm 74; 1 Kings 22:1–28; Acts 22:22–23:11
2025/10/15,"Wednesday, October 15, 2025",Week of 28th Sunday in Ordinary Time,,,,Psalm 77; 2 Chronicles 12; Mark 14:26–42,Psalm 119:81-104; 1 Kings 22:29–45; Acts 23:12–end
2025/10/16,"Thursday, October 16, 2025",Week of 28th Sunday in Ordinary Time,,,,Psalm 78:1-39*; 2 Chronicles 13:1–14:1; Mark 14:43–52,Psalm 78:40-end; 2 Kings 1:2–17; Acts 24:1–23
2025/10/17,"Friday, October 17, 2025",Week of 28th Sunday in Ordinary Time,Eve of St Luke,,,Psalm 55; 2 Chronicles 14:2–end; Mark 14:53–65,Psalm 33; Hosea 6:1-3; 2 Timothy 3:10-17
2025/10/18,"Saturday, October 18, 2025",St Luke the Evangelist,,,,"Psalm 145,146; Isaiah 55; Luke 1:1-4",Psalm 103; Isaiah 61:1-6; Colossians 4:7-18
2025/10/19,"Sunday, October 19, 2025",29th Sunday in Ordinary Time,,Psalm 121; Genesis 32:22-31; 2 Timothy 3:14-4:5; Luke 18:1-8,Psalm 119:97-104; Jeremiah 31:27-34; 2 Timothy 3:14-4:5; Luke 18:1-8,Psalm 147; Isaiah 54:1-14; Luke 13:31-35,Psalm 149; Nehemiah 8:9-18; John 16:1-11
2025/10/20,"Monday, October 20, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 80; 2 Chronicles 17:1–12; Mark 15:1–15,Psalm 85; 2 Kings 5; Acts 26:1–23
2025/10/21,"Tuesday, October 21, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 89:1-18; 2 Chronicles 18:1–27; Mark 15:16–32,Psalm 89:19-end; 2 Kings 6:1–23; Acts 26:24–end
2025/10/22,"Wednesday, October 22, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 119:105-128; 2 Chronicles 18:28–end; 2 Chronicles 19; Mark 15:33–41,Psalm 91; 2 Kings 9:1–16; Acts 27:1–26
2025/10/23,"Thursday, October 23, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 92; 2 Chronicles 20:1–23; Mark 15:42–end,Psalm 94; 2 Kings 9:17–end; Acts 27:27–end
2025/10/24,"Friday, October 24, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 88; 2 Chronicles 22:10–end; 2 Chronicles 23; Mark 16:1–8,Psalm 102; 2 Kings 12:1–19; Acts 28:1–16
2025/10/25,"Saturday, October 25, 2025",Week of 29th Sunday in Ordinary Time,,,,Psalm 97; 2 Chronicles 24:1–22; Mark 16:9–end,Psalm 104; 2 Kings 17:1–23; Acts 28:17–end
2025/10/26,"Sunday, October 26, 2025",30th Sunday in Ordinary Time,,"Psalm 84:1-7; Jeremiah 14:7-10,19-22; 2 Timothy 4:6-8,16-18; Luke 18:9-14","Psalm 65*; Joel 2:23-32; 2 Timothy 4:6-8,16-18; Luke 18:9-14",Psalm 119:105-128; Isaiah 59:9-20; Luke 14:1-14,"Psalm 119:1-16; Ecclesiastes 11,12; 2 Timothy 2:1-7"
2025/10/27,"Monday, October 27, 2025",Week of 30th Sunday in Ordinary Time,Eve of St Simon and St Jude,,,Psalm 98; 2 Chronicles 26:1–21; John 13:1–11,"Psalm 124,125,126; Deuteronomy 32:1-4; John 14:15-26"
2025/10/28,"Tuesday, October 28, 2025","St Simon and St Jude, Apostles",,,,"Psalm 116,117; Isaiah 45:18-26; Luke 6:12-16","Psalm 119:1-16; Jeremiah 3:11-18; Jude 1-4,17-25"
2025/10/29,"Wednesday, October 29, 2025",Week of 30th Sunday in Ordinary Time,,,,Psalm 111; 2 Chronicles 29:1–19; John 13:21–30,Psalm 119:129-152; 2 Kings 18:13–end; Philippians 2:1–13
2025/10/30,"Thursday, October 30, 2025",Week of 30th Sunday in Ordinary Time,,,,Psalm 115; 2 Chronicles 29:20–end; John 13:31–end,Psalm 116; 2 Kings 19:1–19; Philippians 2:14–end
2025/10/31,"Friday, October 31, 2025",Week of 30th Sunday in Ordinary Time,Eve of All Saints Day,,,Psalm 139; 2 Chronicles 30; John 14:1–14,"Psalm 1,5; Isaiah 40:27-end; Revelations 19:6-10"
2025/11/01,"Saturday, November 1, 2025",All Saints Day,,,,"Psalm 15,84,149; Isaiah 35; Luke 9:18-27","Psalm 148,150; Isaiah 65:17-25; Hebrews 11:32-12:2"
2025/11/02,"Sunday, November 2, 2025",4th Sunday before Advent,,"Psalm 32:1-7; Isaiah 1:10-18; 2 Thessalonians 1:1-4,11-12; Luke 19:1-10","Psalm 119:137-144; Habakkuk 1:1-4,2:1-4; 2 Thessalonians 1:1-4,11-12; Luke 19:1-10",Psalm 87; Job 26; Colossians 1:9-14,"Psalm 145*; Lamentations 3:22-33; John 11:(1-31),32-44"
2025/11/03,"Monday, November 3, 2025",Week of 4th Sunday before Advent,,,,Psalm 2; Isaiah 1:1–20; Matthew 1:18–end,Psalm 92; Daniel 1; Revelation 1
2025/11/04,"Tuesday, November 4, 2025",Week of 4th Sunday before Advent,,,,Psalm 5; Isaiah 1:21–end; Matthew 2:1–15,Psalm 100; Daniel 2:1–24; Revelation 2:1–11
2025/11/05,"Wednesday, November 5, 2025",Week of 4th Sunday before Advent,,,,Psalm 9; Isaiah 2:1–11; Matthew 2:16–end,Psalm 112; Daniel 2:25–end; Revelation 2:12–end
2025/11/06,"Thursday, November 6, 2025",Week of 4th Sunday before Advent,,,,Psalm 15; Isaiah 2:12–end; Matthew 3,Psalm 118; Daniel 3:1–18; Revelation 3:1–13
2025/11/07,"Friday, November 7, 2025",Week of 4th Sunday before Advent,,,,Psalm 16; Isaiah 3:1–15; Matthew 4:1–11,Psalm 143; Daniel 3:19–end; Revelation 3:14–end
2025/11/08,"Saturday, November 8, 2025",Week of 4th Sunday before Advent,,,,Psalm 18.31-end; Isaiah 4:2–5:7; Matthew 4:12–22,Psalm 145; Daniel 4:1–18; Revelation 4
2025/11/09,"Sunday, November 9, 2025",3rd Sunday before Advent,,"Psalm 17:1-9*; Job 19:23-27a; 2 Thessalonians 2:1-5,13-17; Luke 20:27-38","Psalm 145:1-5,16-20; Haggai 1:15b–2:9; 2 Thessalonians 2:1-5,13-17; Luke 20:27-38","Psalm 20,90; Isaiah 2:1-5; James 3:13-18",Psalm 40; 1 Kings 3:1-15; Romans 8:31-39
2025/11/10,"Monday, November 10, 2025",Week of 3rd Sunday before Advent,,,,Psalm 20; Isaiah 5:8–24; Matthew 4:23–5:12,Psalm 34; Daniel 4:19–end; Revelation 5
2025/11/11,"Tuesday, November 11, 2025",Week of 3rd Sunday before Advent,,,,Psalm 21; Isaiah 5:25–end; Matthew 5:13–20,Psalm 40; Daniel 5:1–12; Revelation 6
2025/11/12,"Wednesday, November 12, 2025",Week of 3rd Sunday before Advent,,,,Psalm 23; Isaiah 6; Matthew 5:21–37,"Psalm 37; Daniel 5:13–end; Revelation 7:1–4,9–end"
2025/11/13,"Thursday, November 13, 2025",Week of 3rd Sunday before Advent,,,,Psalm 26; Isaiah 7:1–17; Matthew 5:38–end,Psalm 43; Daniel 6; Revelation 8
2025/11/14,"Friday, November 14, 2025",Week of 3rd Sunday before Advent,,,,Psalm 32; Isaiah 8:1–15; Matthew 6:1–18,Psalm 31; Daniel 7:1–14; Revelation 9:1–12
2025/11/15,"Saturday, November 15, 2025",Week of 3rd Sunday before Advent,,,,Psalm 33; Isaiah 8:16–9:7; Matthew 6:19–end,Psalm 86; Daniel 7:15–end; Revelation 9:13–end
2025/11/16,"Sunday, November 16, 2025",2nd Sunday before Advent,,Psalm 98; Malachi 4:1-2a; 2 Thessalonians 3:6-13; Luke 21:5-19,Canticle: Isaiah 12; Isaiah 65:17-25; 2 Thessalonians 3:6-13; Luke 21:5-19,Psalm 132; 1 Samuel 16:1-13; Matthew 13:44-52,"Psalm 97; Daniel 6; Matthew 13:1-9,18-23"
2025/11/17,"Monday, November 17, 2025",Week of 2nd Sunday before Advent,,,,Psalm 47; Isaiah 9:8–10:4; Matthew 7:1–12,Psalm 71; Daniel 8:1–14; Revelation 10
2025/11/18,"Tuesday, November 18, 2025",Week of 2nd Sunday before Advent,,,,Psalm 52; Isaiah 10:5–19; Matthew 7:13–end,Psalm 67; Daniel 8:15–end; Revelation 11:1–14
2025/11/19,"Wednesday, November 19, 2025",Week of 2nd Sunday before Advent,,,,Psalm 56; Isaiah 10:20–32; Matthew 8:1–13,Psalm 73; Daniel 9:1–19; Revelation 11:15–end
2025/11/20,"Thursday, November 20, 2025",Week of 2nd Sunday before Advent,,,,Psalm 62; Isaiah 10:33–11:9; Matthew 8:14–22,Psalm 76; Daniel 9:20–end; Revelation 12
2025/11/21,"Friday, November 21, 2025",Week of 2nd Sunday before Advent,,,,Psalm 63; Isaiah 11:10–end of 12; Matthew 8:23–end,Psalm 77; Daniel 10:1–11:1; Revelation 13:1–10
2025/11/22,"Saturday, November 22, 2025",Week of 2nd Sunday before Advent,Eve of Christ the King,,,Psalm 78.1-39; Isaiah 13:1–13; Matthew 9:1–17,"Psalm 99,100; Isaiah 10:33-11:9; 1 Timothy 6:11-16"
2025/11/23,"Sunday, November 23, 2025",Christ the King Sunday,,Psalm 46; Jeremiah 23:1-6; Colossians 1:11-20; Luke 23:33-43,,"Psalm 29,110; Zechariah 6:9-15; Revelation 11:15-18",Psalm 72*; 1 Samuel 8:4-20; John 18:33-37
2025/11/24,"Monday, November 24, 2025",Week of 1st Sunday before Advent,,,,Psalm 96; Isaiah 14:3–20; Matthew 9:18–34,Psalm 80; Isaiah 40:1–11; Revelation 14:1–13
2025/11/25,"Tuesday, November 25, 2025",Week of 1st Sunday before Advent,,,,Psalm 97; Isaiah 17; Matthew 9:35–10:15,"Psalm 101; Isaiah 40:12–26; Revelation 14:14–end,15:1-end"
2025/11/26,"Wednesday, November 26, 2025",Week of 1st Sunday before Advent,,,,Psalm 112; Isaiah 19; Matthew 10:16–33,Psalm 122; Isaiah 40:27–41:7; Revelation 16:1–11
2025/11/27,"Thursday, November 27, 2025",Week of 1st Sunday before Advent,,,,Psalm 125; Isaiah 21:1–12; Matthew 10:34–11:1,Psalm 133; Isaiah 41:8–20; Revelation 16:12–end
2025/11/28,"Friday, November 28, 2025",Week of 1st Sunday before Advent,,,,Psalm 139; Isaiah 22:1–14; Matthew 11:2–19,Psalm 146; Isaiah 41:21–42:9; Revelation 17
2025/11/29,"Saturday, November 29, 2025",Week of 1st Sunday before Advent,,,,Psalm 145; Isaiah 24; Matthew 11:20–end,Psalm 150; Isaiah 42:10–17; Revelation 18
